Component Code,Unit Code,Tectonic Province,Unit Code,Physiographic Province,Unit Code,Geoform Origin,Geoform,Level 1,Level 2,Geoform Type,Level 1,Level 2,CMECS 2012 Definition
G,,,,,g1.38.2,Geologic,Moraine,,,End Moraine,X,,A ridge-like accumulation that is being (or was) produced at the outer margin of an actively flowing glacier at any given time; a moraine that has been deposited at the outer or lower end of a valley glacier.
G,,,,,g1.38.3,Geologic,Moraine,,,Ground Moraine,X,,"An extensive, low-relief area of till, that has an uneven or undulating surface and is commonly bounded on the distal end by a recessional or end moraine. Ground moraines usually consist of poorly sorted rock and mineral debris (till), which has been dragged along, in, on, or beneath a glacier, and then deposited by basal lodgment and release from downwasting stagnant ice by ablation."
G,,,,,g1.38.4,Geologic,Moraine,,,Kame Moraine,X,,"An end moraine that contains numerous kames, commonly comprising the slumped or erosional remnants of a formerly continuous outwash plain that built up over the foot of rapidly wasting or stagnant ice."
G,,,,,g1.38.5,Geologic,Moraine,,,Lateral Moraine,X,,A ridge-like moraine carried on (and deposited at) the side margin of a valley glacier. It is composed chiefly of rock fragments derived from valley walls by either glacial abrasion and plucking or colluvial accumulation from adjacent slopes.
G,,,,,g1.38.6,Geologic,Moraine,,,Recessional Moraine,X,,"An end or lateral moraine, built during a temporary—but significant—halt in the final retreat of a glacier. May also refer to a moraine built during a minor re-advance of the ice front during a period of general recession."
G,,,,,g1.38.7,Geologic,Moraine,,,Terminal Moraine,X,,An end moraine that marks the farthest advance of a glacier; usually has the form of a massive arcuate or concentric ridge (or complex of ridges) underlain by till and other drift types.
G,,,,,g1.39,Geologic,Mound/Hummock,X,X,,,,"A low, rounded, natural hill of unspecified origin, which is generally less than 3 meters high and composed of earthy material."
G,,,,,g1.39.1,Geologic,Mound/Hummock,,,Tar Mound,,X,"A mound of extruded tar (or other viscous hydrocarbons) on the seafloor that has some relief above the surrounding bottom. Tar mounds in southern California are typically 10 - 100 meters in diameter and can coalesce to form tar reefs. Over time, tar mounds can come to support a diversity of colonizing organisms (Lorenson et al. 2009)."
G,,,,,g1.40,Geologic,Mud Volcano,,X,,,,An accumulation (usually conical in shape) of mud and rock formed by volcanic gases; may also refer to a similar accumulation formed by escaping petroliferous gases (Bates and Jackson 1984) (see Figure 6.3).
G,,,,,g1.41,Geologic,Natural Levee,X,,,,,"An embankment of sediment, bordering one or both sides of a submarine canyon, fan valley, deep-sea channel, river, or other feature. A natural levee has a long, broad, low shape and is composed of sand and coarse silt, which was built by a stream on its flood plain and along both sides of its channel—especially in time of flood when water overflowing the normal banks is forced to deposit the coarsest part of its load. It has a gentle slope away from the river and toward the surrounding floodplain, and its highest elevation is closest to the river bank."
G,,,,,g1.41.1,Geologic,Natural Levee,,,Lava Levee,X,,"The scoriaceous sheets of lava that overflowed their natural channels and solidified to form a levee, similar to levees formed by an overflowing stream of water."
G,,,,,g1.42,Geologic,Overhang (Cliff),X,X,,,,"A rock mass jutting out from a slope, especially the upper part or edge of an eroded cliff projecting out over the lower, undercut part (as above a wave-cut notch). Generally these are characterized as having a slope greater than 90 degrees."
G,,,,,g1.43,Geologic,Panne,,X,,,,"Shallow depressions or flats, often occurring in and adjacent to marshes in the high intertidal that zone that receive saltwater inflow on an infrequent basis. They often are unvegetated and can have encrustations of salt left by evaporation."
G,,,,,g1.44,Geologic,Pavement Area,X,X,,,,"Flat (or gently sloping), low-relief, solid, carbonate rock with little or no fine-scale rugosity. These areas can be covered with algae, hard coral, gorgonians, zooanthids, or other sessile vertebrates; the coverage may be dense enough to partially obscure the underlying surface. On less colonized pavement features, rock may be covered by a thin sand veneer (Kendall et al. 2001)."
G,,,,,g1.45,Geologic,Platform,X,X,,,,"Any level or nearly level surface, ranging in size from a terrace or bench to a plateau defined by slopes around its edges."
G,,,,,g1.45.1,Geologic,Platform,,,Wave-Cut Platform,X,,"A gently sloping surface produced by wave erosion, which extends into the sea or lake from the base of the wave-cut cliff. When subaqueous, they are relict, erosional landforms that originally formed as a wave-cut bench and abrasion platform (from coastal wave erosion), which were later submerged by rising sea level or subsiding land surface (modified from Jackson 1997)."
G,,,,,g1.46,Geologic,Pockmark Field,,,,,,An area of the seafloor dominated by many pockmarks.
G,,,,,g1.47,Geologic,Pockmark,,X,,,,Small craters in the seabed caused by fluids (gas and liquids) erupting and streaming through the sediments. Some pockmarks discovered off Nova Scotia have been up to 150 meters in diameter and 10 meters deep.
G,,,,,g1.48,Geologic,Ridge,X,X,,,,"A long, narrow elevation, usually sharp crested with steep sides. Larger ridges can form an extended upland between valleys."
G,,,,,g1.48.1,Geologic,Ridge,,,Beach Ridge,X,X,"A low, essentially continuous mound of beach (or beach-and-dune material) heaped up by the action of waves and currents on the backshore of a beach, beyond the present limit of storm waves or the reach of ordinary tides. The ridge can occur singly or as one of a series of approximately parallel deposits. The ridges are roughly parallel to the shoreline and represent successive positions of an advancing shoreline."
G,,,,,g1.48.2,Geologic,Ridge,,,Esker,X,X,"A long, narrow, sinuous, steep-sided ridge composed of irregularly stratified sand and gravel that was deposited as the bed of a stream flowing in a subglacial ice tunnel (within or below the ice) or between ice walls on top of the ice of a wasting glacier. Eskers remain behind as high ground when the glacier melts. Eskers range in length from less than a kilometer to more than 160 kilometers, and the height range is 3 - 30 meters."
G,,,,,g1.49,Geologic,Ripples,,X,,,,"Small, linear structures that form as a result of water movement over unconsolidated sediments. The shape and pattern of the ripples provide indications of the general water movement regime in the area. Ripples can be straight, sinuous, catenary, or linguoid."
G,,,,,g1.50,Geologic,Rock Outcrop,X,X,,,,An area where bedrock is exposed at the earth's surface.
G,,,,,g1.50.1,Geologic,Rock Outcrop,,,Authigenic Carbonate Outcrop,X,X,"These outcrops result from the slow seepage of fluid containing dissolved carbon. They form pavements, chimneys, and rings, donuts, or slabs (Stakes et al. 1999)."
G,,,,,g1.51,Geologic,Rubble Field,X,,,,,A loose mass of angular rock fragments. These can occur both on land and underwater.
G,,,,,g1.52,Geologic,Runnel/Rill,,X,,,,"A small, transient channel carrying the water of a wave after it breaks on a beach. They can also be formed by tidal ebb or runoff (following moderate rains or ice/snow melts). Larger runnels can have steep sides."
G,,,,,g1.53,Geologic,Sediment Wave Field,X,X,,,,"An area of wave-like bedforms in sand or other unconsolidated material which are formed by the action of tides, currents, or waves. These bedforms range from centimeters to meters in size and may be superimposed on larger features. Sand waves lack the deep scour associated with dunes or megaripples (Bates and Jackson 1984)."
G,,,,,g1.54,Geologic,Scarp/Wall,X,X,,,,"A relatively straight, cliff-like face or slope of considerable linear extent, which breaks up the general continuity of the land by separating surfaces lying at different levels (as along the margin of a plateau or mesa).<br/><br/>The term wall can be applied to steep or vertical areas on the seaward or exposed side of a reef. Although hard corals may be present, walls in this setting are formed by geologic processes and are not the result of reef-building activities by corals. A wall may be vertical or terraced, and is often referred to as the ""drop-off."""
G,,,,,g1.54.1,Geologic,Scarp/Wall,,,Fault Scarp,X,X,"A feature caused by the rapid erosion of soft rock on the side of a fault (as compared to that of more resistant rock on the other side), for example, the east face of the Sierra Nevada in California."
G,,,,,g1.54.2,Geologic,Scarp/Wall,,,Erosion Scarp,X,X,"A long, steep slope or line of cliffs at the edge of a plateau or ridge formed by erosion."
G,,,,,g1.54.3,Geologic,Scarp/Wall,,,Beach Scarp,X,X,"An almost vertical slope (caused by wave erosion) that fronts a berm on a beach. Scarps may range in height from several centimeters to a few meters, depending on the character of the wave action and the nature and composition of the beach."
G,,,,,g1.55,Geologic,Scar,X,X,,,,"A scar can be either a gouge or deformation of the bottom, or an area where the surface of the substrate, vegetation, or other colonizing organisms have been removed by abrasion or impact. These may be temporary or permanent features."
G,,,,,g1.55.1,Geologic,Scar,,,Iceberg Scour Scar/Furrow,X,X,A scar formed by an iceberg dragging across the substrate. These can occur in shallow water and extend for long distances.
G,,,,,g1.55.2,Geologic,Scar,,,Slump Scar,X,X,"A scar formed by the removal of surface sediment as a result of mass wasting. These scars have the appearance of fresh, unweathered, or colonized sediment."
G,,,,,g1.56,Geologic,Seamount,X,,,,,"An elevation of the seafloor, which is 1,000 meters or higher. Seamounts may be discrete, arranged in a linear or random grouping, or connected at their bases and aligned along a ridge or rise."
G,,,,,g1.56.1,Geologic,Seamount,,,Guyot,X,,A type of seamount that has a flat top.
G,,,,,g1.56.2,Geologic,Seamount,,,Knoll Seamount,X,,"A submerged elevation of rounded shape that rises from the ocean floor, but is less prominent than a seamount."
G,,,,,g1.56.3,Geologic,Seamount,,,Pinnacle Seamount,X,,"A steep-sided, often isolated peak that can occur at depth or reach close to the surface. They are often important aggregation points for fish and other marine life."
G,,,,,g1.57,Geologic,Sediment Sheet,,X,,,,"A thin, widespread, sedimentary deposit, formed by a transgressive sea advancing for a considerable distance over a stable shelf area; may also be called a blanket deposit (Bates and Jackson 1984)."
G,,,,,g1.58,Geologic,Shelf Valley,X,,,,,"A valley crossing the continental shelf, often forming an extension of an existing terrestrial river and terminating in a canyon as the valley reaches the shelf break. Shelf valleys were formed during periods of lower sea level, and continental, glacial melt water contributed to their genesis."
G,,,,,g1.59,Geologic,Shoal,X,X,,,,"A relatively shallow area in a body of water that rises very close to, or reaches, the surface. Shoals have a variety of shapes that are influenced by tidal and river currents. They tend to consist of (or be covered by) sand or other unconsolidated sediments, but may also be composed of rock or other materials. Unlike banks, shoals can be exposed during low tide or periods of low water flow in rivers or streams (modified from Jackson 1997)."
G,,,,,g1.59.1,Geologic,Shoal,,,Moraine Shoal,X,X,The submerged portion of a glacial moraine that reaches close to the surface. These often occur where sea-level rise has drowned former terrestrial glacial features.
G,,,,,g1.60,Geologic,Shore Complex,X,,,,,"Generally a narrow, elongate area that parallels a coastline—commonly cutting across diverse inland landforms. Shore complexes are dominated by landforms derived from active coastal processes that give rise to beach ridges, washover fans, beaches, dunes, wave-cut platforms, barrier islands, cliffs, etc. (Schoeneberger and Wysocki 2005)."
G,,,,,g1.61,Geologic,Shore,,,,,,The intersection of a specified plane of water with the beach that migrates with changes of the tide or of the water level.
G,,,,,g1.61.1,Geologic,Shore,,,Foreshore,X,X,The zone of the shore or beach that is regularly covered and uncovered by the rise and fall of the tide.
G,,,,,g1.61.2,Geologic,Shore,,,Backshore,X,X,"The upper or inner zone of the shore or beach that is above the high-water line of mean spring tides and below the upper limit of shore-zone processes. The backshore is usually dry or moistened by spray, and is acted upon by waves (or covered by water) only during exceptionally severe storms or unusually high tides. It is essentially horizontal or slopes gently landward, and it is divided from the foreshore by the crest of the most seaward berm."
G,,,,,g1.62,Geologic,Slope,X,X,,,,An inclined area of ground or substrate with a change in depth or elevation between its upper and lower limits. Slopes occur at all scales and can refer to broad areas of inclined topography to the flanks of small mounds or depressions in the earth's surface.
G,,,,,g1.62.1,Geologic,Slope,,,Washover Fan Slope,X,,"A subaqueous extension of a washover fan flat, which slopes toward deeper water of a lagoon or estuary and away from the washover fan flat."
G,,,,,g1.63,Geologic,Spit,X,,,,,"(a) A small point, low tongue, or narrow embankment of land, which commonly consists of sand or gravel deposited by longshore transport. One end of the spit is attached to the mainland, and the other terminates in open water (usually the sea); a spit is a finger-like extension of the beach. (b) A relatively long, narrow shoal or reef extending from the shore into a body of water (Jackson 1997)."
G,,,,,g1.64,Geologic,Stack,,X,,,,A rocky subaerial landform consisting of a steep (and often vertical) column or columns of rock in the sea near a coast which have been isolated from the mainland by wave erosion.
G,,,,,g1.65,Geologic,Submarine Slide Deposit,X,,,,,This form includes a wide variety of mass-movement landforms and processes involving the down slope transport (under gravitational influence) of soil and rock material <i>en masse</i>. Geoforms that could occur within (or as a result of) landslides are Rubble Field.
G,,,,,g1.66,Geologic,Swale/Slack,,X,,,,"A long, narrow, generally shallow trough-like depression between two beach ridges and aligned roughly parallel to the coastline. These typically will be found in the intertidal or supratidal zones."
G,,,,,g1.67,Geologic,Terrace,X,,,,,"Any long, narrow, relatively level or gently inclined surface, generally less broad than a plain, but broader than a ledge and bounded along one edge by a steeper descending slope and along the other by a steeper ascending slope. Terraces may border a valley floor or shoreline, and they can represent the former position of a flood plain, lake, or sea shore. Terraces may be created by erosion, wave action, uplift, currents, or any other process."
G,,,,,g1.67.1,Geologic,Terrace,,,Fluviomarine Terrace,X,,"A constructional, coastal strip, which slopes gently seaward and/or down valley and is veneered by (or completely composed of) unconsolidated fluviomarine deposits—typically silt, sand, and fine gravel (Schoeneberger and Wysocki 2005)."
G,,,,,g1.67.2,Geologic,Terrace,,,Wave-Built Terrace,X,,"A subaqueous, relict, depositional landform originally constructed by river or longshore, sediment deposits along the outer edge of a wave-cut platform, and then later submerged by rising sea level or subsiding land surface (modified from Jackson 1997)."
G,,,,,g1.67.3,Geologic,Terrace,,,Marine Terrace,X,,"(a) A narrow, coastal strip, formed of deposited material, that slopes gently seaward. (b) An elevated marine-cut bench or a wave-cut platform that has been exposed by uplift along a seacoast (or by lowering of sea level). Marine Terrace may also refer to a wave-cut platform that merges into a wave-built terrace (Bates and Jackson 1984)."
G,,,,,g1.68,Geologic,Tidepool,,X,,,,A pool of salt water left by an ebbing tide that generally persists until the next flood tide. These normally occur in rock substrates and support diverse animal and plant communities (see Figure 6.4).
G,,,,,g1.69,Geologic,Till Surface,X,X,,,,"An area of substrate (predominantly unsorted and unstratified drift) that is generally unconsolidated, because it was deposited directly by a glacier without subsequent reworking by melt water. The surface consists of a heterogeneous mixture of clay, silt, sand, gravel, stones, and boulders; rock fragments of various lithologies are imbedded within a finer matrix that can range from clay to sandy loam."
G,,,,,g1.70,Geologic,Tombolo,X,,,,,A sand or gravel bar or barrier that connects an island with the mainland (or with another island).
G,,,,,g2,Biogenic,,,,,,,"Biogenic geoforms are physical features and landforms that were created by the action of living organisms (bioherms). These primarily consist of the different types of reefs. Examples of these generally hard, fixed structures include the incorporation of dissolved calcium carbonate into reef structure by corals, aggregations of mollusk shells into a fixed cohesive substrate, or the cementation of existing sediments into an aggregation of worm tubes. As with all geoforms the characteristic of concern in this component is the physical shape of these reef features, not the living biology that may have participated in their genesis. Any of the reef geoforms may or may not have living coral or other life present."
G,,,,,g1.71,Biogenic,Atoll,X,,,,,"A ring-like coral reef that nearly (or entirely) encloses a reef lagoon. The volcanic island normally associated with an atoll may or may not be present. Atolls appear in plain view as a roughly circular reef that is surmounted by a chain of closely spaced, low, coral islets that encircle (or nearly encircle) a shallow lagoon in which there is no land or islands of non-coral origin; the reef is surrounded by open sea."
G,,,,,g1.71.1,Biogenic,Atoll,,,Submerged Atoll/Atoll Reef,X,,Atoll structure in which new coral growth has not kept up with rising sea levels (or is overcome by the effects of subsidence such that it now lies below the surface). It may still support living coral communities.
G,,,,,g2.1,Biogenic,Burrows/Bioturbation,,X,,,,"Tubes, holes, furrows, and small mounds formed by the digging, feeding, and movement of benthic fauna. These can bring nutrients and other compounds to the surface—as well as destabilize the substrate."
G,,,,,g2.1.1,Biogenic,Burrows/Bioturbation,,,Tilefish Burrow,,X,"Burrows formed by the Tilefish (sp.). These can be up to 3 meters wide and 1 - 2 meters deep. In some areas, the density of these burrows can be over 1,000 per square kilometer, thus significantly altering the benthos."
G,,,,,g2.2,Biogenic,Coral Reef Island,X,X,,,,A tropical island built of organic material derived from the skeletons of corals and other reef associates. Coral islands are usually low and may be several kilometers in size. Typically their structure is integrally part of a living or relatively recent coral reef.
G,,,,,g2.3,Biogenic,Mollusk Reef,X,X,,,,An area of many shell reefs surrounded and intermixed with channels and unvegetated flats.
G,,,,,g2.3.1,Biogenic,Mollusk Reef,,,Fringing Mollusk Reef,,X,"Narrow, linear reefs, which are usually lying below the marsh platform. These reefs form along the shore of tidal creeks, and they are typically intertidal (see Figure 6.5)."
G,,,,,g2.3.2,Biogenic,Mollusk Reef,,,Linear Mollusk Reef,,X,"Narrow straight or sinuous, ridge-like reefs formed primarily by oysters but also by other mollusks. These are also usually intertidal. Examples of this type of reef can be found in areas with small tidal ranges such as Apalachicola Bay and Nueces Bay, Texas (see Figure 6.6)."
G,,,,,g2.3.3,Biogenic,Mollusk Reef,,,Patch Mollusk Reef,,X,"Mounded, generally round or lobate reefs that have some vertical relief above the surrounding substrate. These are usually intertidal, but they can occur in subtidal settings (see Figure 6.7)."
G,,,,,g2.3.4,Biogenic,Mollusk Reef,,,Washed Shell Mound,,X,"Generally linear accumulations of dead shell that form high in the intertidal zone along tidal creeks and on the landward side of barrier islands. The shells are loose, and they are usually bleached by the sun—giving them a bright appearance (see Figure 6.8)."
G,,,,,g2.4,Biogenic,Deep/Cold-Water Coral Reef,X,X,,,,"Reefs formed by deepwater azooxanthellate (i.e., lacking symbiotic algae), stony corals (Order Scleractinia). Aggregations of these colonial corals can form structures that range from small patch reefs that are several meters across, to large reefs and giant carbonate mounds up to 300 meters high and several kilometers in diameter; these reefs form over many thousands to millions of years (Roberts, Wheeler, and Freiwald 2006)."
G,,,,,g2.4.1,Biogenic,Deep/Cold-Water Coral Reef,,,Biogenic Deep Coral Reef,X,X,"Persistent structures, formed by deepwater corals, whose growth exceeds (bio) erosion. These reefs result in local topographic highs that alter hydrodynamic and sedimentary regimes. The actual reef structure remains, often with the growing reefs on their crest or side. The coral thickets and skeletal remains trap sediments, contributing to the accretion of the reef (Roberts et al. 2009)."
G,,,,,g2.4.2,Biogenic,Deep/Cold-Water Coral Reef,,,Deep Coral Carbonate Mound,X,X,"Topographic seafloor structures that are the result of previous periods of coral growth, often with successive periods of reef development, sedimentation, and erosion. These are elevated structures, composed of coral fossils and accumulated interstitial sediments. This type includes structures variously referred to as carbonate knolls, coral banks, bio-buildups, and lithoherms. Coral carbonate mounds can take on various shapes and sizes, reaching tens of meters in height and tens of kilometers in size. They may or may not currently include biogenic reefs (Roberts et al. 2009)."
G,,,,,g2.5,Biogenic,Shallow/Mesophotic Coral Reef,X,X,,,,Light-dependent coral reefs that occur within the photic zone (the mesophotic reefs occur in the lower part of this zone at depths of 30 - 150 meters). (http://www.mesophotic.org).
G,,,,,g2.5.1,Biogenic,Shallow/Mesophotic Coral Reef,,,Aggregate Coral Reef,X,X,"Continuous, high-relief coral formation that occurs in various shapes and lacks sand channels. This type includes linear coral formations that are oriented parallel to the shelf edge (Zitello et al. 2009)."
G,,,,,g2.5.2,Biogenic,Shallow/Mesophotic Coral Reef,,,Shallow/Mesophotic Coral Carbonate Mound,X,X,"Topographic seafloor structures that are the result of previous periods of coral growth, often with successive periods of reef development, sedimentation, and erosion. These are elevated structures, composed of coral fossils and accumulated interstitial sediments. This type includes structures variously referred to as carbonate knolls, coral banks, bio-buildups, and lithoherms. Coral carbonate mounds can take on various shapes and sizes, reaching tens of meters in height and tens of kilometers in size. They may or may not currently include biogenic reefs (Roberts et al. 2009)."
G,,,,,g2.5.3,Biogenic,Shallow/Mesophotic Coral Reef,,,Coral Head/Bomme,,X,"Individual, massive coral colonies—usually with a boulder or mound-like shape."
G,,,,,g2.5.4,Biogenic,Shallow/Mesophotic Coral Reef,,,Coral Pinnacle,,X,"A hard, columnar structure formed primarily by the growth of hard corals and other encrusting organisms. These can occur as isolated vertical structures or in association with other pinnacles."
G,,,,,g2.5.5,Biogenic,Shallow/Mesophotic Coral Reef,,,Fragile Mesophotic Coral Reef,X,X,Coral reef characterized by delicate branching corals and other reef organisms.
G,,,,,g2.5.6,Biogenic,Shallow/Mesophotic Coral Reef,,,Fringing Coral Reef,X,X,Fringing coral reefs are generally linear and generally aligned with the nearby coast. They have the same general morphology as the larger barrier reefs but occur at smaller scales.
G,,,,,g2.5.7,Biogenic,Shallow/Mesophotic Coral Reef,,,Halo,X,X,"The zone of low-relief, generally bare, sand surrounding Patch Coral Reefs. Halos are often formed by the action of grazing herbivores in the adjacent patch reef itself."
G,,,,,g2.5.8,Biogenic,Shallow/Mesophotic Coral Reef,,,Linear Coral Reef,X,X,"These are linear coral formations that are oriented parallel to shore or the shelf edge. They follow the contours of the shore/shelf edge. This category is used for such commonly used terms as forereef, fringing reef, and shelf edge reef."
G,,,,,g2.5.9,Biogenic,Shallow/Mesophotic Coral Reef,,,Patch Coral Reef,X,X,"Individual patch coral reefs are coral formations with circular or oblong shapes and vertical reliefs of one meter or more in relation to the surrounding seafloor. These reefs are isolated from other coral reef formations by bare sand, seagrass, rhodoliths, or other habitats—and have no organized structural axis relative to the contours of the insular shelf edge (Zitello et al. 2009)."
G,,,,,g2.5.10,Biogenic,Shallow/Mesophotic Coral Reef,,,Pinnacle Coral Reef,X,X,A reef structure formed by the aggregation of many individual pinnacles
G,,,,,g2.5.11,Biogenic,Shallow/Mesophotic Coral Reef,,,Spur and Groove Coral Reef,X,X,"Habitat having alternating sand and coral formations that are oriented perpendicular to the shore or bank/shelf escarpment. The coral formations (spurs) of this feature typically have a high vertical relief (compared to pavement with sand channels), and they are separated from each other by 1 - 5 meters of sand or bare hardbottom (grooves)—although the height and width of these elements may vary considerably. This geoform type typically occurs in the forereef or bank/shelf escarpment zone."
G,,,,,g2.6,Biogenic,Tree Fall,,X,,,,"Tree falls are trees or woody parts that have sunk to the deep ocean floor (generally 2,000 meters or deeper) and may remain there for decades. They are colonized by a specialized group of wood-boring organisms such as xylophaga (a bivalve) and several crustaceans. Tree falls also support a suite of predators and scavengers."
G,,,,,g2.7,Biogenic,Whale Fall,,X,,,,"Whale carcasses that have fallen to the deep ocean floor (generally 2,000 meters or deeper), and which support a wide variety of arthropods and worms—and a limited number of fish. Whale falls can persist for decades (see Figure 6.9)."
G,,,,,g2.8,Biogenic,Worm Reef,,X,,,,"Reefs that consist of the consolidated tubes of many individual tube worms, often of the sabellaria and serpulid genera. They may be calcareous or siliceous, and the outer surface of these reefs may support living worm communities."
G,,,,,g2.8.1,Biogenic,Worm Reef,,,Patch Worm Reef,,X,"These reefs are often massive, boulder-like structures separated from each other by unconsolidated sediments."
G,,,,,g2.8.2,Biogenic,Worm Reef,,,Linear Worm Reef,,X,Linear or bench-like reefs formed by worms in the intertidal zone.
G,,,,,g3,Anthropogenic,,,,,,,"In many coastal and deep oceans, artificial structures (such as piers, breakwaters, bulkheads, berms, drilling rigs, and artificial reefs) are a significant part of the environment. The continually (or intermittently) submerged portions of features attract vagile fauna and provide attachment surfaces for plants and sessile animals. These features can also provide shelter from predators and prevailing current, and they can support niche communities that increase overall biodiversity. However, these structures can also have negative effects (such as altering natural hydrodynamic patterns, interfering with animal movement, and increasing contaminant loading into nearshore areas), and thus are often of interest to resource managers.<br/><br/>The same relationship between Level 1 and Level 2 geoforms prevails in this origin type as in the geologic and biogenic categories; however, due to the complexity of some of the anthropogenic structures, many more Level 2 units may be present in a single Level 1 geoform. Besides physical structures, features that are the result of human activity (such as scars and trawl marks) are included among the anthropogenic geoforms."
G,,,,,g3.1,Anthropogenic,Aquaculture Structure,X,X,,,,"These structures can take many forms: lines suspended over the sediment, floating wooden frameworks sub-tidal structures attached to the benthos such as wooden piers and platforms, and pens and enclosures (both at the surface and submerged). These structures are associated with the cultivation of fish, crustaceans, and shellfish for human use or consumption. They may be integrated into shallow water bays and ponds, or they may be deployed in deeper water. Due to their structural aspects, they can be attractive to fish and other animals. They are often sources of nutrients and, thus, have impacts on the surrounding ecology."
G,,,,,g3.2,Anthropogenic,Artificial Bar,X,,,,,Shoal or bar constructed by human activity to influence the movement of water and tides—or reduce surface wave activity within an area.
G,,,,,g3.2.1,Anthropogenic,Artificial Bar,,,Harbor Bar,X,,"A bar built across the exit to a harbor, in some cases to reduce wave energy within the harbor itself."
G,,,,,g3.3,Anthropogenic,Artificial Dike,X,,,,,"A raised, linear barrier intended to contain or hold back water in order to prevent flooding of adjacent land. These may be concrete or fill structures."
G,,,,,g3.3.1,Anthropogenic,Artificial Dike,,,Artificial Levee,X,,"(a) A dike along the side of a river channel erected to prevent overflow during floods, usually running along the channel direction and near the natural levee crests of streams. (b) An artificial embankment constructed along the bank of a watercourse or an arm of the sea to protect land from inundation (or to confine stream flow to its channel)."
G,,,,,g3.4,Anthropogenic,Artificial Reef,,X,,,,"An artificial structure placed on the ocean floor to provide a hard substrate for sea life to colonize. Artificial reefs are constructed by sinking dense materials (such as old ships and barges, concrete-ballasted tire units, concrete and steel demolition debris, and dredge rock) on the seafloor within designated reef sites."
G,,,,,g3.5,Anthropogenic,Artificial Scar,,X,,,,"A gouge or deformation of the bottom, or an area where the surface of the substrate, vegetation, or other colonizing organisms have been removed by abrasion or impact. These may be temporary or permanent features."
G,,,,,g3.5.1,Anthropogenic,Artificial Scar,,,Prop Scar,,X,A scar that is the result of boat or ship propellers making contact with the bottom. Usually these are linear features occurring in shallow areas or shoals.
G,,,,,g3.5.2,Anthropogenic,Artificial Scar,,,Trawling Scar,,X,A groove or cleared area of the substrate that is the result of dragging nets or weights across the seafloor. These scars can extend for a long distance and may overlap older scars. They are generally associated with damage to epibenthic organic communities.
G,,,,,g3.6,Anthropogenic,Buoy,,X,,,,"Anchored objects that float in a relatively fixed position at the water surface. Most buoys are used as navigational aids and markers for channels, but many buoys also contain scientific or other observational instruments."
G,,,,,g3.7,Anthropogenic,Breakwater/Jetty,,X,,,,"Structures extending more or less perpendicularly from the shore into a body of water, which are designed to direct and confine the current or tide, to protect a harbor, or to prevent shoaling of a navigable inlet by littoral materials."
G,,,,,g3.7.1,Anthropogenic,Breakwater/Jetty,,,Groin,,X,A small jetty extending perpendicular from the shore designed to reduce beach erosion. Groins provide hard substrate in what is often an area dominated by unconsolidated sediments.
G,,,,,g3.8,Anthropogenic,Breachway,,X,,,,The shoreline that is created along the channel formed by jetties.
G,,,,,g3.9,Anthropogenic,Bulkhead,,X,,,,"An artificially reinforced section of the shoreline (or the structure itself). These can be composed of piles of natural material (such as rip-rap), or they may resemble walls of timbers or other substance. They may have many purposes but generally are not intended to prevent flooding of lower areas."
G,,,,,g3.10,Anthropogenic,Cable Area,X,,,,,"An area through which one or more cables have been placed in (or on) the substrate. These areas can be navigation hazards, so they are commonly noted on nautical charts. Scarring, debris, and other features associated with cable installation or maintenance may be present."
G,,,,,g3.11,Anthropogenic,Cable,,X,,,,Structures that serve as linear conduits for electricity or as supporting lines for other in-water or above-water infrastructure.
G,,,,,g3.12,Anthropogenic,Canal,X,X,,,,"(a) Man-made channels produced to facilitate navigation between water bodies. (b) Generally linear, dredged, closed-ended ditches that have been dug between housing units along the coast."
G,,,,,g3.13,Anthropogenic,Dam,X,X,,,,"An obstruction across a flow that produces a lake, pond, or other widening."
G,,,,,g3.14,Anthropogenic,Dock/Pier,,X,,,,"A landing place for vessels normally oriented perpendicular to the shore with a flat surface for off-loading materials. Docks may be fixed in position through anchors or piles, or be supported by pilings or other structures."
G,,,,,g3.15,Anthropogenic,Dredged/Excavated Channel,X,X,,,,"A roughly linear, deep area within an existing water body formed by a dredging operation for navigation purposes (after Wells et al. 1994)."
G,,,,,g3.16,Anthropogenic,Dredge Deposit,X,X,,,,"A subaqueous area that is substantially shallower than the surrounding area, which resulted from the deposition of materials from dredging and dumping."
G,,,,,g3.16.1,Anthropogenic,Dredge Deposit,,,Dredge Deposit Shoal,X,X,"A subaqueous area that is substantially shallower than the surrounding area, which resulted from the deposition of materials from dredging and dumping."
G,,,,,g3.16.2,Anthropogenic,Dredge Deposit,,,Dredge Deposit Bank,X,X,A subaerial mound or ridge (which permanently stands above the water) composed of randomly mixed sediments deposited during dredging and dumping.
G,,,,,g3.17,Anthropogenic,Dredge Disturbance,,X,,,,"An area of the seafloor impacted by dredging activities. In this instance, the term is meant to apply to secondary scarring, smothering, or destruction of epibenthic and near-surface infaunal communities by dredging activity (rather than the direct removal of material by dredging which would be characterized under the Dredged Channel or other geoforms)."
G,,,,,g3.18,Anthropogenic,Drilling (Oil and Gas) Rig,,X,,,,"Large structures built to house workers and machinery needed to drill wells in the ocean bed in order to extract oil or other natural resources. They may be attached to the ocean floor, consist of an artificial island, or be floating; rigs often provide important structure and attachment points for marine animals."
