(Level 1) ,(Level 2),(Level 3),(Level 4),Unit Type,Defintion,CMECS Version,Component Code,Unit Code
Modifiers,Physical Modifiers,Surface Pattern,Rippled,CMECS Modifier Value,"Closely spaced, regular, repeating, vertical variations in the height of a sandy or muddy bottom, with a very short wavelength on the order of centimeters. A rippled substrate is generally caused by the physical processes of water motion.",2012-06,,SP04
Modifiers,Physical Modifiers,Surface Pattern,Scarred,CMECS Modifier Value,"Roughness appears due to localized sediment disturbance resulting either from natural causes (e.g., slumps) or anthropogenic causes (e.g., anchor scars, propeller scars, trawl scars, or other fishing gear scars), but not as an artifact of camera or sampling gear deployment.",2012-06,,SP05
Modifiers,Physical Modifiers,Surface Pattern,Smooth,CMECS Modifier Value,No perceptible roughness or texture to sediment surface at scales of less than 1 meter.,2012-06,,SP06
Modifiers,Physical Modifiers,Tidal Regime (Amplitude),,CMECS Modifier,The Tidal Regime Modifier refers to the height difference between mean high tide and mean low tide at the coast. The mean range gives a proxy for the energy and flow associated with tidal motions. Tidal Regime is shown in Table 10.15.,2012-06,,TR
Modifiers,Physical Modifiers,Tidal Regime (Amplitude),Atidal,CMECS Modifier Value,< 0.1 meter,2012-06,,TR01
Modifiers,Physical Modifiers,Tidal Regime (Amplitude),Microtidal,CMECS Modifier Value,0.1 to < 0.3 meter,2012-06,,TR02
Modifiers,Physical Modifiers,Tidal Regime (Amplitude),Minimally Tidal,CMECS Modifier Value,0.3 to < 1 meter,2012-06,,TR03
Modifiers,Physical Modifiers,Tidal Regime (Amplitude),Moderately Tidal,CMECS Modifier Value,1 to < 4 meters,2012-06,,TR04
Modifiers,Physical Modifiers,Tidal Regime (Amplitude),Macrotidal,CMECS Modifier Value,4 to < 8 meters,2012-06,,TR05
Modifiers,Physical Modifiers,Tidal Regime (Amplitude),Megatidal,CMECS Modifier Value,≥ 8 meters,2012-06,,TR06
Modifiers,Physical Modifiers,Wave Regime (Amplitude),,CMECS Modifier,"This modifier is intended to quantify intensity of wave energy by amplitude, and can be applied on any time scale, as specified by the user.",2012-06,,WR
Modifiers,Physical Modifiers,Wave Regime (Amplitude),Quiescent,CMECS Modifier Value,< 0.1 meter,2012-06,,WR01
Modifiers,Physical Modifiers,Wave Regime (Amplitude),Very Low Wave Energy,CMECS Modifier Value,0.1 to < 0.25 meter,2012-06,,WR02
Modifiers,Physical Modifiers,Wave Regime (Amplitude),Low Wave Energy,CMECS Modifier Value,0.25 to < 1.0 meter,2012-06,,WR03
Modifiers,Physical Modifiers,Wave Regime (Amplitude),Moderate Wave Energy,CMECS Modifier Value,1.0 to < 2.0 meters,2012-06,,WR04
Modifiers,Physical Modifiers,Wave Regime (Amplitude),Moderately High Wave Energy,CMECS Modifier Value,2.0 to < 4.0 meters,2012-06,,WR05
Modifiers,Physical Modifiers,Wave Regime (Amplitude),High Wave Energy,CMECS Modifier Value,4.0 to < 8.0 meters,2012-06,,WR06
Modifiers,Physical Modifiers,Wave Regime (Amplitude),Very High Wave Energy,CMECS Modifier Value,≥ 8.0 meters,2012-06,,WR07
Modifiers,Physicochemical Modifiers,,,CMECS Modifier Type,,2012-06,,
Modifiers,Physicochemical Modifiers,Oxygen Regime,,CMECS Modifier,"Oxygen concentration is an important water column modifier. Oxygen is critical to aerobic organisms and to aerobic processes (such as chemical oxidation and microbial respiration). Dissolved oxygen levels change daily in a dramatic way in systems such as estuaries, where they often go from hypoxic (at night) to saturated (during the day). The Oxygen Regime Modifier is intended for use in reporting persistent oxygen conditions, or can be used to explain variable regimes as described by the user. Oxygen levels are determined according to the following ranges, for the time scales and durations specified by the user; practitioners may specify, e.g., “oxygen varies from highly oxic during daylight hours to severely hypoxic at night”. Furthermore, practitioners should note that oxygen saturation varies with temperature and pressure.",2012-06,,OR
Modifiers,Physicochemical Modifiers,Oxygen Regime,Anoxic,CMECS Modifier Value,0 to < 0.1 mg/L,2012-06,,OR001
Modifiers,Physicochemical Modifiers,Oxygen Regime,Severely Hypoxic,CMECS Modifier Value,0.1 to < 2 mg/L,2012-06,,OR002
Modifiers,Physicochemical Modifiers,Oxygen Regime,Hypoxic,CMECS Modifier Value,2 to < 4 mg/L,2012-06,,OR003
Modifiers,Physicochemical Modifiers,Oxygen Regime,Oxic,CMECS Modifier Value,4 to < 8 mg/L,2012-06,,OR004
Modifiers,Physicochemical Modifiers,Oxygen Regime,Highly Oxic,CMECS Modifier Value,8 to < 12 mg/L,2012-06,,OR005
Modifiers,Physicochemical Modifiers,Oxygen Regime,Very Oxic,CMECS Modifier Value,≥ 12 mg/L,2012-06,,OR006
Modifiers,Physicochemical Modifiers,Photic Quality,,CMECS Modifier,"Photic quality is a highly variable parameter. In many cases, water is clear and downwelling light penetration extends the photic zone to the bottom of the water column. In cases of reduced water clarity, light is highly attenuated. Photic exposure depends on the depth, sun angle, cloud cover, time of year, and other factors. Moreover, the depth of the shift from photic to aphotic occurs at different points in the water column, depending on the ecosystem, watershed, and suspended substances reducing water clarity.
Vertical zones are evaluated relative to the penetration of light (photic and aphotic) for both water column and benthic components. The depth of the photic zone can also be calculated from ocean color imagery using satellite algorithms (Lee et al. 2007).",2012-06,,PQ
Modifiers,Physicochemical Modifiers,Photic Quality,Aphotic,CMECS Modifier Value,"Region of the water column where no ambient light penetrates, no photosynthesis occurs, and animals cannot make use of visual cues based on even reduced levels of ambient light. In oceans, this zone typically lies below 500-1,000 meters of depth. In turbid estuaries, this zone may be very shallow.",2012-06,,PQ01
Modifiers,Physicochemical Modifiers,Photic Quality,Dysphotic,CMECS Modifier Value,"Region of the water column, below the compensation depth, that receives less than 2% of the surface light; plants and algae cannot achieve positive photosynthetic production in this region, but some ambient light does penetrate such that animals can make use of visual cues based on reduced levels of ambient light.",2012-06,,PQ02
Modifiers,Physicochemical Modifiers,Photic Quality,Photic ,CMECS Modifier Value,Region of the water column where ambient light is > 2% of surface light and phototrophic organisms can photosynthesize.,2012-06,,PQ03
Modifiers,Physicochemical Modifiers,Photic Quality,Seasonally Photic,CMECS Modifier Value,An area that regularly varies between photic and dysphotic/aphotic.,2012-06,,PQ04
Modifiers,Physicochemical Modifiers,aRPD and RPD Depth,,CMECS Modifier,"The apparent Redox Potential Discontinuity (aRPD) is a measurement of the depth of the “color break,” that is, the maximum color difference below the sediment-water interface at which lighter-colored (tan, brown, beige, yellow, or red), more-oxidized surface sediments transition into darker-colored (grey, black, or blue-black), more-reduced deeper sediments. The depth of the aRPD is easily measured, and it has been found to be an extremely useful parameter in characterizing certain biogeochemical aspects of the sedimentary environment. For instance, the aRPD represents the depth at which iron exists as colored, insoluble, ferric hydroxides, which dissolve into solution as iron monosulfides in a reducing environment, e.g., in the presence of sulfate reduction (Teal et al. 2009).
The aRPD is strongly correlated to the true RPD depth (Grizzle and Penniman 1991; Rosenberg et al. 2001), which is the depth where Eh (measured sediment reduction/oxidation potential) is zero. Both values are very useful as proxies for bioturbation (because the values are extended deeper by the effects of bioturbating fauna), and both are correlated to bottom-water dissolved-oxygen concentration (Rosenberg 1977; Diaz, Cutter, and Rhoads 1994; Cicchetti et al. 2006). The aRPD can be measured with a variety of techniques including retrieval of cores, sediment profile imaging, and direct observation. The RPD can be measured using microelectrodes, either in retrieved cores or <in situ>.

RPD (centimeters) – The RPD is measured with electrodes, and is reported in centimeters.
aRPD depth (centimeters), muddy sediments – The aRPD depth is measured at the color transition based on direct observation or from images, and it can be reported in centimeters or following the terms defined below (from Nilsson and Rosenberg 1997). These modifier terms apply only to sediments that contain some mud; aRPD depths manifest differently in sand sediments that are dominated by different diffusional processes and rates.",2012-06,,RPD
Modifiers,Physicochemical Modifiers,aRPD and RPD Depth,Zero,CMECS Modifier Value,0.0 cm depth,2012-06,,RPD01
Modifiers,Physicochemical Modifiers,aRPD and RPD Depth,Diffusional,CMECS Modifier Value,> 0.0 to 1.0 cm depth,2012-06,,RPD02
Modifiers,Physicochemical Modifiers,aRPD and RPD Depth,Shallow,CMECS Modifier Value,> 1.0 to 2.0 cm depth,2012-06,,RPD03
Modifiers,Physicochemical Modifiers,aRPD and RPD Depth,Moderate,CMECS Modifier Value,> 2.0 to 3.5 cm depth,2012-06,,RPD04
Modifiers,Physicochemical Modifiers,aRPD and RPD Depth,Deep,CMECS Modifier Value,> 3.5 to 5.0 cm depth,2012-06,,RPD05
Modifiers,Physicochemical Modifiers,aRPD and RPD Depth,Very Deep,CMECS Modifier Value,> 5 cm depth,2012-06,,RPD06
Modifiers,Physicochemical Modifiers,Salinity Regime,,CMECS Modifier,"Salinity is considered a classifier for the Water Column Component, i.e., it is an essential parameter for measurement in order to effectively classify the water column. However, users may wish to apply the CMECS terminology for salinity within other components when the water column itself is not being classified. The salinity ranges are repeated here in the modifier section to allow this convenience for users.",2012-06,,SR
Modifiers,Physicochemical Modifiers,Salinity Regime,Oligohaline,CMECS Modifier Value,< 5,2012-06,,SR01
Modifiers,Physicochemical Modifiers,Salinity Regime,Mesohaline,CMECS Modifier Value,5 to < 18,2012-06,,SR02
Modifiers,Physicochemical Modifiers,Salinity Regime,Lower Polyhaline,CMECS Modifier Value,18 to < 25,2012-06,,SR03
Modifiers,Physicochemical Modifiers,Salinity Regime,Upper Polyhaline,CMECS Modifier Value,25 to < 30,2012-06,,SR04
Modifiers,Physicochemical Modifiers,Salinity Regime,Euhaline,CMECS Modifier Value,30 to < 40,2012-06,,SR05
Modifiers,Physicochemical Modifiers,Salinity Regime,Hyperhaline,CMECS Modifier Value,≥ 40,2012-06,,SR06
Modifiers,Physicochemical Modifiers,Temperature Range,,CMECS Modifier,"As with salinity, temperature is considered a classifier for the Water Column Component, i.e., it is an essential parameter for measurement in order to effectively classify the water column. Likewise, users may wish to apply the CMECS terminology for temperature within other components when the water column itself is not being classified. The temperature ranges are repeated here in the modifier section to allow this convenience for users.",2012-06,,T
Modifiers,Physicochemical Modifiers,Temperature Range,Frozen/Superchilled,CMECS Modifier Value,≤ 0 °C,2012-06,,T01
Modifiers,Physicochemical Modifiers,Temperature Range,Very Cold,CMECS Modifier Value,0 to < 5 °C (liquid),2012-06,,T02
Modifiers,Physicochemical Modifiers,Temperature Range,Cold,CMECS Modifier Value,5 to < 10 °C,2012-06,,T03
Modifiers,Physicochemical Modifiers,Temperature Range,Cool,CMECS Modifier Value,10 to < 15 °C,2012-06,,T04
Modifiers,Physicochemical Modifiers,Temperature Range,Moderate,CMECS Modifier Value,15 to < 20 °C,2012-06,,T05
Modifiers,Physicochemical Modifiers,Temperature Range,Warm,CMECS Modifier Value,20 to < 25 °C,2012-06,,T06
Modifiers,Physicochemical Modifiers,Temperature Range,Very Warm,CMECS Modifier Value,25 to < 30 °C,2012-06,,T07
Modifiers,Physicochemical Modifiers,Temperature Range,Hot,CMECS Modifier Value,30 to < 35 °C,2012-06,,T08
Modifiers,Physicochemical Modifiers,Temperature Range,Very Hot,CMECS Modifier Value,≥ 35 °C,2012-06,,T09
Modifiers,Physicochemical Modifiers,Turbidity,,CMECS Modifier,"Turbidity is a factor of the suspended solids and color within the water column, and it affects light attenuation and the depth to which light penetrates in the water column. This is critically important for autotrophs that convert light to photosynthetic products. Turbidity also has important effects on visual hunting and predation avoidance. While turbidity is frequently reported in Nephelometric Turbidity Units (NTUs), CMECS establishes categories for turbidity based on Secchi disk depth; it would be difficult to standardize turbidity by NTUs due to regional variations in background measurements. Secchi disk observations are commonly used in the marine environment.",2012-06,,TC
Modifiers,Physicochemical Modifiers,Turbidity,Extremely Turbid,CMECS Modifier Value,< 1 m Secchi depth,2012-06,,TC01
Modifiers,Physicochemical Modifiers,Turbidity,Highly Turbid,CMECS Modifier Value,1 to < 2 m Secchi depth,2012-06,,TC02
Modifiers,Physicochemical Modifiers,Turbidity,Moderately Turbid,CMECS Modifier Value,2 to < 5 m Secchi depth,2012-06,,TC03
Modifiers,Physicochemical Modifiers,Turbidity,Clear,CMECS Modifier Value,5 to < 20 m Secchi depth,2012-06,,TC04
Modifiers,Physicochemical Modifiers,Turbidity,Extremely Clear,CMECS Modifier Value,≥ 20 m Secchi depth,2012-06,,TC05
Modifiers,Physicochemical Modifiers,Turbidity Type,,CMECS Modifier,"The provenance of the attenuating substance?whether the reduced water clarity is derived from chlorophyll pigments (e.g., phytoplankton blooms), from color due to dissolved substances in the water (e.g., gelbstoff or tannins), from imported mineral terrigenous sediments, or from carbonate particulates in resuspension—is an important qualitative characteristic of turbidity. This qualitative assessment can be used in addition to a qualitative or quantitative evaluation of the degree of turbidity in the water column.",2012-06,,TT
Modifiers,Physicochemical Modifiers,Turbidity Type,Carbonate Particulates,CMECS Modifier Value,"Attenuation produced by suspended precipitated CaCO3 in the water column, generally creating an opaque ""milky"" appearance.",2012-06,,TT01
Modifiers,Physicochemical Modifiers,Turbidity Type,Chlorophyll,CMECS Modifier Value,"Attenuation produced by chlorophyll a, b, c, or d as constituents of live phytoplankton in the water column.",2012-06,,TT02
Modifiers,Physicochemical Modifiers,Turbidity Type,Colloidal Precipitates,CMECS Modifier Value,Dispersed particulates that precipitate out of the water to form aggregations such as marine snow.,2012-06,,TT03
Modifiers,Physicochemical Modifiers,Turbidity Type,Mineral Precipitates,CMECS Modifier Value,Attenuation produced by suspended inorganic sediments derived from soil and rock weathering.,2012-06,,TT04
Modifiers,Physicochemical Modifiers,Turbidity Type,Detritus,CMECS Modifier Value,Attenuation due to larger particles of organic detritus in suspension.,2012-06,,TT05
Modifiers,Physicochemical Modifiers,Turbidity Type,Dissolved Color,CMECS Modifier Value,Substances dissolved in water that have color.,2012-06,,TT06
Modifiers,Physicochemical Modifiers,Turbidity Type,Mixed,CMECS Modifier Value,Attenuation due to a variety of the above sources and substances.,2012-06,,TT07
Modifiers,Physicochemical Modifiers,Turbidity Provenance,,CMECS Modifier,"The provenance of the attenuating substance?whether the reduced water clarity is derived from chlorophyll pigments (e.g., phytoplankton blooms), from color due to dissolved substances in the water (e.g., gelbstoff or tannins), from imported mineral terrigenous sediments, or from carbonate particulates in resuspension—is an important qualitative characteristic of turbidity. This qualitative assessment can be used in addition to a qualitative or quantitative evaluation of the degree of turbidity in the water column.",2012-06,,TP
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Allochthonous,CMECS Modifier Value,Originating outside of the system and transported into the system.,2012-06,,TP01
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Autochthonous,CMECS Modifier Value,"Generated <in situ> by biogenic processes (e.g., phytoplankton bloom).",2012-06,,TP02
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Marine Origin,CMECS Modifier Value,"Materials, water, or energy originating in the ocean.",2012-06,,TP03
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Precipitated,CMECS Modifier Value,Solutes such as calcium carbonate that precipitate out of solution.,2012-06,,TP04
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Resuspended,CMECS Modifier Value,"Deposited materials mixed into the water column by currents (e.g., bottom sediments).",2012-06,,TP05
Modifiers,Physicochemical Modifiers,Turbidity Provenance,Terrigenous Origin,CMECS Modifier Value,"Materials, water, or energy in a water body resulting from land drainage or wind deposits.",2012-06,,TP06
Modifiers,Physicochemical Modifiers,Water Column Stability Regime,,CMECS Modifier,"Water column stability can be characterized as stratified, partially mixed, and well-mixed. This structure is defined by density differentials from bottom to surface, as shown in the table below. Water Column Stability is assessed using the more universally applied delta Sigma-t to calculate stability, which incorporates salinity, temperature into the calculation of density and adjusts for adiabatic effects (Pond and Pickard 1983). The Stability Regime modifier compares the calculated ? Sigma-t, or the relative density of two water parcels by subtraction of the density of the surface layer from the density of the deeper layer. If the density difference equals or exceeds 0.125, the water column is considered to be vertically stable; if it differs by less than 0.125, and density is homogeneous between the upper and lower layers, the water column is classified as well-mixed. If the density difference is less than 0.125 and variable between the two layers, the water column is classified as partially mixed.",2012-06,,WCS
Modifiers,Physicochemical Modifiers,Water Column Stability Regime,Partially Stratified,CMECS Modifier Value,< 0.125 ? sigma-t and variable,2012-06,,WCS01
Modifiers,Physicochemical Modifiers,Water Column Stability Regime,Stratified,CMECS Modifier Value,≥ 0.125 ? sigma-t,2012-06,,WCS02
Modifiers,Physicochemical Modifiers,Water Column Stability Regime,Well-Mixed,CMECS Modifier Value,< 0.125 ? sigma-t and homogeneous,2012-06,,WCS03
Modifiers,Spatial Modifers,,,CMECS Modifier Type,,2012-06,,
Modifiers,Spatial Modifers,Benthic Depth Zone,,CMECS Modifier,"The depths of benthic zones vary depending on regional geology and turbidity. It is often useful to describe a specific depth or range of depths for the bottom, and the CMECS Benthic Depth Zone Modifiers represent the major divisions in a gradient from land to the deep ocean bottom. They are generally based on the zones in which surf or ocean swell influences bottom communities, lower limits of vegetation (such as kelp), overall photic availability, and temperature. The zones within this category are drawn or adapted from Greene et al. (2007) and Connor (1997).",2012-06,,BDZ
Modifiers,Spatial Modifers,Benthic Depth Zone,Littoral,CMECS Modifier Value,Intertidal,2012-06,,BDZ01
Modifiers,Spatial Modifers,Benthic Depth Zone,Shallow Infralittoral,CMECS Modifier Value,0 to < 5 meters,2012-06,,BDZ02
Modifiers,Spatial Modifers,Benthic Depth Zone,Deep Infralittoral,CMECS Modifier Value,5 to < 30 meters,2012-06,,BDZ03
Modifiers,Spatial Modifers,Benthic Depth Zone,Circalittoral,CMECS Modifier Value,30 to < 200 meters,2012-06,,BDZ04
Modifiers,Spatial Modifers,Benthic Depth Zone,Mesobenthic,CMECS Modifier Value,"200 to < 1,000 meters",2012-06,,BDZ05
Modifiers,Spatial Modifers,Benthic Depth Zone,Bathybenthic,CMECS Modifier Value,"1,000 to < 4,000 meters",2012-06,,BDZ06
Modifiers,Spatial Modifers,Benthic Depth Zone,Abyssalbenthic,CMECS Modifier Value,"4,000 to < 6,000 meters",2012-06,,BDZ07
Modifiers,Spatial Modifers,Benthic Depth Zone,Hadalbenthic,CMECS Modifier Value,"≥ 6,000 meters",2012-06,,BDZ08
Modifiers,Spatial Modifers,Co-occurring Elements,Descriptive,CMECS Modifier,"Nature is inherently a mixture or a continuum. CMECS provides an ecologically meaningful methodology to classify nature into discrete environmental types using consistent threshold values that define primary classification units. However, in natural coastal and marine settings, less abundant, co-occurring (or secondary) features are frequently mixed into these primary classification types at some level beneath a classification threshold. Therefore, these co-occurring features are not recognized in the syntax of the primary classification. In some situations, project goals may require identification of these co-occurring features and associated taxa. In other situations, identification of co-occurring materials, taxa, or mixes may detract from project goals.
CMECS provides a modifier, Co-occurring Elements, for identification of secondary CMECS classification units that are mixed into a primary classification unit at a level below the classification threshold. Co-occurring Elements are used in the hierarchical Biotic and Substrate Components when the primary feature and the co-occurring feature are both units in that same Component. More information and examples of Co-occurring Elements can be found on page 213.",2012-06,,CoE
Modifiers,Spatial Modifers,Coral Reef Zone,,CMECS Modifier,"All coral reef environments contain distinct horizontal and vertical zones created by differences in depth, morphology, wave and current energy, temperature, and light. The following zones are commonly present on shallow and mesophotic reefs (Zitello et al. 2009).",2012-06,,CRZ
Modifiers,Spatial Modifers,Coral Reef Zone,Back Reef,CMECS Modifier Value,Area between the seaward edge of a lagoon floor and the landward edge of a reef crest. This zone is present only when a reef crest exists.,2012-06,,CRZ01
Modifiers,Spatial Modifers,Coral Reef Zone,Bank/Shelf,CMECS Modifier Value,"Deeper water area (usually > 30 meters) extending offshore from the seaward edge of the fore reef (or shoreline) to the beginning of the bank/shelf escarpment where the insular shelf drops off into deep, oceanic water.",2012-06,,CRZ02
Modifiers,Spatial Modifers,Coral Reef Zone,Bank/Shelf Escarpment,CMECS Modifier Value,"The edge of the bank/shelf where depth increases rapidly into deep oceanic water. This zone begins at approximately 20-30 meters depth, near the depth limit of features visible in aerial images. This zone extends well into depths exceeding those that can be seen on aerial photos, and this zone is intended to capture the transition from the bank/shelf to deep waters of the open ocean.",2012-06,,CRZ03
Modifiers,Spatial Modifers,Coral Reef Zone,Fore Reef,CMECS Modifier Value,Area from the seaward edge of the reef crests (which slopes into deeper water) to the landward edge of the bank/shelf platform. Features not forming an emergent reef crest- but still having a seaward-facing slope that is significantly greater than the slope of the bank/shelf- are also designated as forereef.,2012-06,,CRZ04
Modifiers,Spatial Modifers,Coral Reef Zone,Lagoon,CMECS Modifier Value,"Shallow area (relative to the deeper water of the bank/shelf) between the shoreline intertidal zone and a back reef or barrier island. This zone is protected from the high-energy waves commonly experienced on the bank/shelf and reef crest. If no reef crest is present, there is no lagoon zone.",2012-06,,CRZ05
Modifiers,Spatial Modifers,Coral Reef Zone,Reef Crest,CMECS Modifier Value,"The flattened, emergent (especially during low tides) or nearly emergent segment of a reef. This zone lies between the back reef and fore reef zones. In aerial images, breaking waves will often be visible at the seaward edge of this zone.",2012-06,,CRZ06
Modifiers,Spatial Modifers,Coral Reef Zone,Reef Flat,CMECS Modifier Value,Shallow (semi-exposed) area between the shoreline intertidal zone and the reef crest of a fringing reef. This zone is protected from the high-energy waves commonly experienced on the shelf and reef crest. Reef flat is typically not present if there is a lagoon zone.,2012-06,,CRZ07
Modifiers,Spatial Modifers,Coral Reef Zone,Ridges and Swales,CMECS Modifier Value,"An area of numerous thin, narrow, discontinuous bands of coral ridges and leeward sand- and sediment-filled swales. Debris and reef-rubble fields behind many of the reefs may obscure these margin-parallel seabed features. In Florida, for example, this zone extends for an estimated 200 kilometers along the Florida shelf (from Key Largo to Halfmoon Shoal), and it is discontinuous due to (a) topography, (b) inconsistent responses of coral reefs to changing sea levels, and (c) varying effects of the physical environment on reefs and sediments.",2012-06,,CRZ08
Modifiers,Spatial Modifers,Coral Reef Zone,Shoreline/Intertidal,CMECS Modifier Value,Area between the mean high water line (or the landward edge of emergent vegetation- such as Red Mangrove- when present) and the lowest spring tide level (excluding emergent segments of barrier reefs).,2012-06,,CRZ09
Modifiers,Spatial Modifers,Coral Reef Zone,Vertical Wall,CMECS Modifier Value,"Area with near-vertical slope from the shore to the shelf (or shelf escarpment). This zone is typically narrow and may not be distinguishable in remotely gathered imagery; however, it is included because it is recognized as a biologically important feature.",2012-06,,CRZ10
Modifiers,Spatial Modifers,Enclosure,,CMECS Modifier,"Enclosure represents the degree of isolation of a water body from other waters because of enclosure by a land mass. In estuaries, enclosure determines the degree of exchange of water, materials, energy, and biota between the estuary and the sea. More enclosed water bodies have longer water residence times, can tend to be more evaporative and hypersaline, and can more readily trap and retain materials within them.",2012-06,,E
Modifiers,Spatial Modifers,Enclosure,Unenclosed,CMECS Modifier Value,"≥ 150-degree angular gap from landward end of water body to seaward opening; no confining land masses (e.g., islands) within or just outside water body.",2012-06,,E01
Modifiers,Spatial Modifers,Enclosure,Partially enclosed,CMECS Modifier Value,90- to < 150-degree angular gap from landward end of water body to seaward opening.,2012-06,,E02
Modifiers,Spatial Modifers,Enclosure,Significantly enclosed,CMECS Modifier Value,45- to < 90-degree angular gap from landward end of water body to seaward opening.,2012-06,,E03
Modifiers,Spatial Modifers,Enclosure,Very enclosed,CMECS Modifier Value,10- to < 45-degree angular gap from landward end of water body to seaward opening.,2012-06,,E04
Modifiers,Spatial Modifers,Enclosure,Enclosed,CMECS Modifier Value,Essentially separated from the ocean; waters are completely surrounded by land or with a narrow channel connection to the sea. This category includes perched estuaries and lagoonal estuaries.,2012-06,,E05
Modifiers,Spatial Modifers,Enclosure,Intermittent,CMECS Modifier Value,"Class of water bodies that regularly close due to low flow, opening seasonally during high flow. Also called ICOLL (Intermittently Closed and Open Lake or Lagoon).",2012-06,,E06
Modifiers,Spatial Modifers,Percent Cover Range,,CMECS Modifier,"To classify a unit to the class and subclass level of the Biotic Component, a user needs to know the relative percent cover of each of the components of the substrate. The degree of substrate cover for each biotic feature is assessed using the following ranges. These categories can also be used as a modifier to describe the density of vegetation (such as seagrasses) or other substrate components, and are useful in the Substrate component as well. Coarse Percent Cover can be described using one of five coarse descriptors, e.g., ""Sparse"", or, if greater detail is needed, Fine Percent Cover can be described using one of eleven range categories, e.g., ""10 to < 20%"".",2012-06,,PC
Modifiers,Spatial Modifers,Fine Percent Cover Range,<1%,CMECS Modifier Value,,2012-06,,PC01
Modifiers,Spatial Modifers,Fine Percent Cover Range,1 to < 10%,CMECS Modifier Value,,2012-06,,PC02
Modifiers,Spatial Modifers,Fine Percent Cover Range,10 to < 20%,CMECS Modifier Value,,2012-06,,PC03
Modifiers,Spatial Modifers,Fine Percent Cover Range,20 to < 30%,CMECS Modifier Value,,2012-06,,PC04
Modifiers,Spatial Modifers,Fine Percent Cover Range,30 to < 40%,CMECS Modifier Value,,2012-06,,PC05
Modifiers,Spatial Modifers,Fine Percent Cover Range,40 to < 50%,CMECS Modifier Value,,2012-06,,PC06
Modifiers,Spatial Modifers,Fine Percent Cover Range,50 to < 60%,CMECS Modifier Value,,2012-06,,PC07
Modifiers,Spatial Modifers,Fine Percent Cover Range,60 to < 70%,CMECS Modifier Value,,2012-06,,PC08
Modifiers,Spatial Modifers,Fine Percent Cover Range,70 to < 80%,CMECS Modifier Value,,2012-06,,PC09
Modifiers,Spatial Modifers,Fine Percent Cover Range,80 to <  90%,CMECS Modifier Value,,2012-06,,PC10
Modifiers,Spatial Modifers,Fine Percent Cover Range,90 to 100%,CMECS Modifier Value,,2012-06,,PC11
Modifiers,Spatial Modifers,Coarse Percent Cover Range,Trace (< 1%),CMECS Modifier Value,,2012-06,,
Modifiers,Spatial Modifers,Coarse Percent Cover Range,Sparse (1 to < 30%),CMECS Modifier Value,,2012-06,,
Modifiers,Spatial Modifers,Coarse Percent Cover Range,Moderate (30 to < 70%),CMECS Modifier Value,,2012-06,,
Modifiers,Spatial Modifers,Coarse Percent Cover Range,Dense (70 to < 80%),CMECS Modifier Value,,2012-06,,
Modifiers,Spatial Modifers,Coarse Percent Cover Range,Complete (90 to 100%),CMECS Modifier Value,,2012-06,,
Modifiers,Spatial Modifers,Elevation Profile,,CMECS Modifier,The Profile Modifier refers to the elevation of a feature relative to the surrounding level of the water or bed.,2012-06,,P
Modifiers,Spatial Modifers,Elevation Profile,None,CMECS Modifier Value,0 meters,2012-06,,P01
Modifiers,Spatial Modifers,Elevation Profile,Low,CMECS Modifier Value,0.1 to < 2 meters,2012-06,,P02
Modifiers,Spatial Modifers,Elevation Profile,Medium,CMECS Modifier Value,2 to < 5 meters,2012-06,,P03
Modifiers,Spatial Modifers,Elevation Profile,High,CMECS Modifier Value,≥ 5 meters,2012-06,,P04
Modifiers,Spatial Modifers,Substrate Layering,Descriptive,CMECS Modifier,"Substrate in CMECS conceptually extends to the greatest depth that supports multicellular life. Although certain large fauna may penetrate several meters below the surface in soft sediments, CMECS generally considers the uppermost 15 centimeters of fine substrates, recognizing that evidence of very-deep burrowing fauna will also be present in the top 15 centimeters. The upper 15 centimeters of substrate may present as a set of horizontal layers constituting a three-dimensional matrix. A basic identification of horizontal substrate layers can be accomplished by describing the characteristics of these layers and recording the mean thickness in centimeters together with the ordering of each layer below the sediment surface. The process of identifying and describing substrate layers can provide ecological insights and practical value for users interested in substrate structure and process, as well as in ecological history.
The structuring of distinctly layered sediments is captured in CMECS as a modifier using any SC classifiers, modifiers, or descriptors in the following format, with measurements indicating thickness or depth of the examined layers (as specified). The term “veneer"" may be used to describe a thin (< 1 centimeter thick) covering of one sediment type over another sediment type. Examples can be found on page 219.",2012-06,,SL
