(Level 1),(Level 2),(Level 3),(Level 4),(Level 5),Unit Type,Defintion,CMECS Version,Component Code,Unit Code
Water Column Component,Hydroform,Current,Residual Current,Partially Mixed Domain,CMECS Water Column Subcomponent: Hydroform Type,"An estuarine circulation with an intermediate level of advective and tidal energy, that can disrupt the density barrier between the fresher upper and salty lower water column of an estuary, entraining water in both directions. This results in a gradient of increasing salinity from top to bottom, with no barrier to mixing.",2012-06,W,h1.13.2
Water Column Component,Hydroform,Current,Residual Current,Reverse Estuarine Flow,CMECS Water Column Subcomponent: Hydroform Type,"An estuarine circulation where evaporation greatly exceeds freshwater input, as in hot dry climes, salinity is concentrated within the estuarine basin. This results in a salinity maximum in the estuary that can far exceed seawater salinity.",2012-06,W,h1.13.3
Water Column Component,Hydroform,Current,Residual Current,Salt Wedge Domain,CMECS Water Column Subcomponent: Hydroform Type,"Portions of estuaries that have an unimpeded connection of bottom waters to the sea develop a wedge-shaped formation of high-salinity water in the bottom, with lower salinity water from upstream freshwater loading in the upper water column. The wedge form is developed as hydrostatic pressure of river water pushes against the incoming seawater and, being less dense, rides over it. The difference in salinity and density is important in estuarine chemistry and biology as the density barrier between upper and lower water columns restrains mixing and transport across the transitional gradient, called the pycnocline. This leads to an upper, autotrophic and lower, generally heterotrophic portion of the water column.",2012-06,W,h1.13.4
Water Column Component,Hydroform,Current,Residual Current,Well-mixed Domain,CMECS Water Column Subcomponent: Hydroform  ,"Reaches of estuaries where the tidal flux and/or the river discharge is sufficient to overcome the salt-wedge structure, the water column becomes well-mixed and vertical homogeneous.",2012-06,W,h1.13.5
Water Column Component,Hydroform,Current,Sub-mesoscale Eddy,,CMECS Water Column Subcomponent: Hydroform  ,A reverse current with rotational movement created when fluid flows past an obstacle. Sub-mesoscale eddies are of size scale smaller than 20 kilometers.,2012-06,W,h1.14
Water Column Component,Hydroform,Current,Thermohaline Eddy,,CMECS Water Column Subcomponent: Hydroform  ,Eddy formation due to the interaction of temperature and salinity differences between two water masses initiating convective flow.,2012-06,W,h1.15
Water Column Component,Hydroform,Current,Tidal Flow,,CMECS Water Column Subcomponent: Hydroform Type,"Advective flow resulting from of tidal movement, often amplified in velocity when moving through an inlet, pass or channel. Tides are important in mixing the water column and transporting water, salt, nutrients and biota, particularly weak-swimming larval or non-motile planktonic forms. The life cycles of many organisms depend on tidal transport for survival.",2012-06,W,h1.16
Water Column Component,Hydroform,Current,Tidal Flow,Diurnal Tidal Flow,CMECS Water Column Subcomponent: Hydroform Type,"Tidal ocean waters where, due to the geometry of the ocean basin and obstructions presented by land, a second daily tide is suppressed, resulting in a single or diurnal tide regime with one high and one low tide per day, as in the Gulf of Mexico.",2012-06,W,h1.16.1
Water Column Component,Hydroform,Current,Tidal Flow,Mixed Semi-diurnal Tidal Flow,CMECS Water Column Subcomponent: Hydroform Type,"Tidal ocean waters where the amplitudes of two semi-diurnal tides are unequal, resulting in a stronger and a weaker high and low tide each day.",2012-06,W,h1.16.2
Water Column Component,Hydroform,Current,Tidal Flow,Semi-diurnal Tidal Flow,CMECS Water Column Subcomponent: Hydroform  ,Tidal ocean waters where the gravitational action of the sun and moon on Earth's oceans create two high and two low tides per day of relatively equal amplitude.,2012-06,W,h1.16.3
Water Column Component,Hydroform,Current,Turbidity Flow,,CMECS Water Column Subcomponent: Hydroform  ,A flow of water down slope carrying a dense suspension of fluid mud or unconsolidated material.,2012-06,W,h1.17
Water Column Component,Hydroform,Current,Wave-driven Current,,CMECS Water Column Subcomponent: Hydroform Type,Residual current caused by asymmetrical force created by wave motion.,2012-06,W,h1.18
Water Column Component,Hydroform,Current,Wave-driven Current,Longshore Current,CMECS Water Column Subcomponent: Hydroform Type,"A current that moves parallel to or at an oblique angle to the shoreline, carrying water and often transporting soft sediments downstream. Prevailing wind and wave directions can persist in a longshore direction for long periods, and are commonly responsible for the formation of spits, bars and many barrier islands.",2012-06,W,h1.18.1
Water Column Component,Hydroform,Current,Wave-driven Current,Rip Current,CMECS Water Column Subcomponent: Hydroform Type,A formation of water flow in a seaward direction generated by wave action and local topography nearshore. Shallow depressions in the sea floor or breaks in a bar will channel receding water at high velocity away from shore and through the surf zone after onshore wave action.,2012-06,W,h1.18.2
Water Column Component,Hydroform,Current,Wave-driven Current,Undertow,CMECS Water Column Subcomponent: Hydroform  ,Seaward-directed current generated by water that is receding from the shoreline after wave run up.,2012-06,W,h1.18.3
Water Column Component,Hydroform,Current,Wind-driven Current,,CMECS Water Column Subcomponent: Hydroform Class,"Current caused by wind shear as distinguished by those caused by density differences, which result in thermohaline circulation. Though only a portion of the oceans are exposed to wind energy, winds are responsible for the great ocean gyres, dominant features of ocean circulation.",2012-06,W,h1.19
Water Column Component,Hydroform,Front,,,CMECS Water Column Subcomponent: Hydroform  ,"Front Hydroforms are linear features formed at the conjunction of two or more water masses with different properties. Fronts are formed in many different ways when two water masses juxtapose. The front itself becomes a third water feature, and it has several distinctive properties of its own, including current speed and direction, physicochemical properties derived from the two merging water masses, sharp gradients in properties (such as salinity, temperature, nutrients and water clarity) and an accumulation of matter and biota. In estuaries, fronts can occur at the boundaries of horizontal layers between fresher upper layers and saltier bottom waters; in the ocean, fronts can occur between the upper mixed layer and lower layers.",2012-06,W,h2
Water Column Component,Hydroform,Front,Coastal Upwelling Front,,CMECS Water Column Subcomponent: Hydroform  ,A frontal interface where a nearshore upwelling occurs due to local turbulent mixing. The upwelling front develops between the upwelling water and the coastal water mass.,2012-06,W,h2.1
Water Column Component,Hydroform,Front,Shelf-break Front,,CMECS Water Column Subcomponent: Hydroform  ,"Frontal formations where cross-shelf waters encounter slope waters from the deeper oceans, often associated with upwelling. The seasonally transitional features are sites of high temperature, salinity and density gradients and often of high productivity where deep upwelled water contributes high nutrients.",2012-06,W,h2.2
Water Column Component,Hydroform,Front,Tidal Front,,CMECS Water Column Subcomponent: Hydroform Class,"A front created by the linear convergence of two water masses brought into juxtaposition by tidal action. Generally the two masses will have differential characteristics such as temperature, density, and often of color and productivity. Fronts can be maintained as distinct due to these differences, which inhibit mixing across a density barrier. There is often strong vertical mixing on either side of the front, producing upwelling and aggregations of biota feeding on the material grown <in situ> or accumulated at the front.",2012-06,W,h2.3
Water Column Component,Hydroform,Water Mass,,,CMECS Water Column Subcomponent: Hydroform  ,"The Water Mass Hydroform Class refers to a parcel of water with homogeneous properties (e.g., chemical, physical). If no other hydroform applies (or sufficient information is not available to classify the hydroform), the default would be a water mass that describes the general properties of the parcel. Any physicochemical property (or properties) can define a water mass. Common water mass types are those of homogeneous salinity, temperature or density- or a combination of those properties. The properties of a water mass generally change relatively slowly, because the factors that created and constrain the homogeneity tend to be buffered by the inertial properties of water itself. Thermal mass of water, for example, means that the water temperature will change much more slowly than air temperature. Non-conservative properties (such as nutrient concentration or pH) can change much more quickly, because biological processes can alter them.",2012-06,W,h3
Water Column Component,Hydroform,Water Mass,Background Mesoscale Field,,CMECS Water Column Subcomponent: Hydroform  ,A water mass characterized by organized ocean-surface currents formed by coupled eddies (at the mesoscale length scale); responsible for much of water movement on the ocean surface.,2012-06,W,h3.1
Water Column Component,Hydroform,Water Mass,Fumarole Plume,,CMECS Water Column Subcomponent: Hydroform  ,A plume of hot gases venting from the sea bottom associated with volcanic or tectonic activity from cracks in the Earth's crust; often a site of significant chemoautotrophic activity.,2012-06,W,h3.2
Water Column Component,Hydroform,Water Mass,Hydrothermal Plume,,CMECS Water Column Subcomponent: Hydroform Type,"A discharge of hot fluids from sea-bottom vents associated with volcanic or tectonic activity. The fluids are often laden with high concentrations of minerals, which impart either a dark- even black- color or a white color. These minerals precipitate readily out of supersaturation.",2012-06,W,h3.3
Water Column Component,Hydroform,Water Mass,Hydrothermal Plume,Detached Hydrothermal Plume,CMECS Water Column Subcomponent: Hydroform  ,"A parcel of hot, mineral rich water that has become detached from its source and forms a persistent lens within the water column.",2012-06,W,h3.3.1
Water Column Component,Hydroform,Water Mass,Ice,,CMECS Water Column Subcomponent: Hydroform Type,"Frozen form of water, which is less dense than liquid water; ice floats on the surface of liquid water, sometimes extending into deep water zones. This property drives a number of important biological and physical processes in the ocean, including preventing freezing of the ocean to the bottom. Ice either floats on- or forms a solid cover on- the underlying water, which isolates atmospheric input for the duration of cover. Nonetheless, strong circulation and water motion occurs in the aquatic system under the ice (driven by advection of adjacent water masses or thermal convection). Because freshwater freezes at a higher temperature than salt water, surface freezing of the ocean concentrates salt brine in the liquid water below the ice. Ice formation and ice cover maintenance is relatively stable in both spatial and temporal terms, determined by relative air and water temperatures, velocity of water movements, and geomorphology of the setting.",2012-06,W,h3.4
Water Column Component,Hydroform,Water Mass,Ice,Drift Ice,CMECS Water Column Subcomponent: Hydroform Type,Ice that floats freely on the sea surface.,2012-06,W,h3.4.1
Water Column Component,Hydroform,Water Mass,Ice,Fast Ice,CMECS Water Column Subcomponent: Hydroform Type,"Ice that is attached to a land mass such as the coast or, in shallow water, the sea floor.",2012-06,W,h3.4.2
Water Column Component,Hydroform,Water Mass,Ice,Frazil or Grease Ice,CMECS Water Column Subcomponent: Hydroform Type,"Ice formation that develops when super-cooled water is turbulently mixed, permitting development of small ice crystals which continually fragment and break up without forming ice cover. Over time a slushy suspension of increasing density forms on the surface of the water. In quiet conditions frazil crystals can freeze together to form a continuous thin sheet of young ice.",2012-06,W,h3.4.3
Water Column Component,Hydroform,Water Mass,Ice,Ice Field,CMECS Water Column Subcomponent: Hydroform Type,Expanse of ice greater in size than an ice floe (>= 10 kilometers in any dimension).,2012-06,W,h3.4.4
Water Column Component,Hydroform,Water Mass,Ice,Ice Floe,CMECS Water Column Subcomponent: Hydroform Type,Large floating ice chunk less than 10 kilometers on its longest axis.,2012-06,W,h3.4.5
Water Column Component,Hydroform,Water Mass,Ice,Pack Ice,CMECS Water Column Subcomponent: Hydroform Type,"Accumulation of drift ice into a large floating mass, often against a continental shoreline.",2012-06,W,h3.4.6
Water Column Component,Hydroform,Water Mass,Ice,Pancake Ice,CMECS Water Column Subcomponent: Hydroform Type,Thin plaques of compressed ice particles formed by wave action into plates several meters in diameter that float on the sea surface.,2012-06,W,h.3.4.7
Water Column Component,Hydroform,Water Mass,Ice,Polnya,CMECS Water Column Subcomponent: Hydroform  ,"An area of open, liquid seawater surrounded by ice.",2012-06,W,h3.4.8
Water Column Component,Hydroform,Water Mass,Mesoscale Lens,,CMECS Water Column Subcomponent: Hydroform Type,"A trapped, homogeneous parcel of water lying within (or atop) larger ocean fields due to density differences. These hydroforms are 30 - 300 kilometers in size.",2012-06,W,h3.5
Water Column Component,Hydroform,Water Mass,Mesoscale Lens,River/Estuary Plume,CMECS Water Column Subcomponent: Hydroform Type,"Formation of water resulting from the discharge of low-salinity water into marine waters of the ocean, forming a distinct layer of water on top of the seawater due to its lower density. The plume can extend for many kilometers and persist for months after the freshwater flow has stopped before being entrained into the seawater. These plumes are typically higher in nutrients, turbidity and productivity than the surrounding seawater and can gradually deliver those water quality characteristics to the adjacent ocean water.",2012-06,W,h3.5.1
Water Column Component,Hydroform,Water Mass,Mesoscale Lens,Meddy,CMECS Water Column Subcomponent: Hydroform  ,"A lens of water that enters the eastern Atlantic from the Mediterranean Sea, flows down the Continental slope and pinches off at the depth of neutral buoyancy, about 1,000 meters. The salty warm water rotates clockwise and travels slowly westward in the Atlantic, persisting for many months.",2012-06,W,h3.5.2
Water Column Component,Hydroform,Water Mass,Microscale Lens,,CMECS Water Column Subcomponent: Hydroform Type,A homogeneous parcel of water on the order of meters to a few kilometers positioned within (or atop) a larger ocean fields of different density.,2012-06,W,h3.6
Water Column Component,Hydroform,Water Mass,Microscale Lens,Small Freshwater Plume,CMECS Water Column Subcomponent: Hydroform  ,"Similar to a river plume but on smaller scale and can be initiated from variety of sources such as a groundwater seep, a non-point source or a transient discharge.",2012-06,W,h3.6.1
Water Column Component,Hydroform,Water Mass,Winter Water Mass,,CMECS Water Column Subcomponent: Hydroform Class,"The mass of water produced- and introduced to oceans- as a result of melting winter ice formations. These water masses tend to be fresher than surrounding waters, and they often flow over the denser salt water.",2012-06,W,h3.7
Water Column Component,Hydroform,Wave,,,CMECS Water Column Subcomponent: Hydroform  ,"The Wave Hydroform Class is a propagation of energy that moves through the water, causing a vertical, oscillatory motion with characteristic wavelength, amplitude, and celerity. Waves are of several types: internal, standing, and surface. Each type of wave propagates energy and impacts the waters, substrate, and biota that it contacts. Waves are initiated by an energy source (such as wind, landslides, earthquakes, or volcanic eruptions), and they can occur at any depth in the water column. Wave energy varies depending on type and intensity of energy input; the wave regime can change on hourly timescales.",2012-06,W,h4
Water Column Component,Hydroform,Wave,Anthropogenic Wave,,CMECS Water Column Subcomponent: Hydroform  ,Boat wake or other wave caused by energy resulting from human activity.,2012-06,W,h4.1
Water Column Component,Hydroform,Wave,Coastally Trapped Wave,,CMECS Water Column Subcomponent: Hydroform Type,"A wave that moves along the coastal margin, which forms a trapping barrier.",2012-06,W,h4.2
Water Column Component,Hydroform,Wave,Coastally Trapped Wave,Internal Kelvin Wave,CMECS Water Column Subcomponent: Hydroform Type,Subsurface gravity wave with a rotational component propagated along a density interface against a vertical barrier such as a coast or the wall of a basin.,2012-06,W,h4.2.1
Water Column Component,Hydroform,Wave,Coastally Trapped Wave,External Kelvin Wave,CMECS Water Column Subcomponent: Hydroform Type,Surface gravity wave with a rotational component propagated along the sea surface against a vertical barrier such as a coast or the wall of a basin. Such Kelvin waves are important at the Equator in determining the presence and strength of El Nino/ENSO events.,2012-06,W,h4.2.2
Water Column Component,Hydroform,Wave,Coastally Trapped Wave,Shelf Wave,CMECS Water Column Subcomponent: Hydroform Type,A wind-induced wave guided by continental shelf topography.,2012-06,W,h4.2.3
Water Column Component,Hydroform,Wave,Coastally Trapped Wave,Topographic Wave,CMECS Water Column Subcomponent: Hydroform  ,"A sub-basin scale wave that is driven by wind-stress from the passage of cyclones across or along the shelf, with long period (~ 5 days) and to which a vorticity is imparted by the apparent Coriolis effect.",2012-06,W,h4.2.4
Water Column Component,Hydroform,Wave,Edge Wave,,CMECS Water Column Subcomponent: Hydroform  ,"A wave that moves along a trapping barrier, such as the continental shelf, the continental margin or an inertial water mass.",2012-06,W,h4.3
Water Column Component,Hydroform,Wave,Equatorial Wave,,CMECS Water Column Subcomponent: Hydroform  ,"A wave that is trapped by and moves along the Equatorial water mass, which forms a density barrier.",2012-06,W,h4.4
Water Column Component,Hydroform,Wave,Non-Equatorial Wave,,CMECS Water Column Subcomponent: Hydroform  ,"A wave that is propagated along an edge or barrier, such as a continental margin, and that is not associated with an Equatorial water mass.",2012-06,W,h4.5
Water Column Component,Hydroform,Wave,Internal Wave,,CMECS Water Column Subcomponent: Hydroform  ,"A wave that propagates along a density surface within the water column, below the water's surface.",2012-06,W,h4.6
Water Column Component,Hydroform,Wave,Seiche,,CMECS Water Column Subcomponent: Hydroform  ,"A long-period, standing wave that creates an oscillatory sloshing of water within an enclosed water body. This is due to wind or pressure effects that cause water motions that resonate with the length scale of the water body.",2012-06,W,h4.7
Water Column Component,Hydroform,Wave,Storm Surge,,CMECS Water Column Subcomponent: Hydroform  ,"A propagation of water associated with intense meteorological and wind activity such as a tropical storm. The surge of water from deep into shallow waters and onto land is caused by wind forcing in the forward, shoreward direction and by pressure differential within a cyclonic storm that positions extreme low pressure over a section of ocean, permitting tides to rise above normal range.",2012-06,W,h4.8
Water Column Component,Hydroform,Wave,Surf Zone,,CMECS Water Column Subcomponent: Hydroform  ,"Zone with incipient wave breaks, which are the result of an increase in the steepness of the wave as the water depth decreases. The surf zone is the region extending from the seaward boundary of wave breaking to the limit of wave uprush. The surf zone is the specific subset of the wave hydroform where waves are breaking against a shoreline. This relatively narrow area occurs when waves encounter bottom friction and break, forming a region of high turbulence, mixing, and intense energy. This occurrence affects biota in the water column, as well as bottom and shore substrates and biota. The surf zone is highly variable temporally and spatially in extent, energy characteristics, and physicochemical properties; this variability is due to the tight coupling between the water column and the substrate it impacts. In areas of soft sediments, high turbidity can result. Benthic biota (such as diatom mats) can be mixed into the water column, imparting its photosynthetic parameters to the water column and elevating water-column productivity. Nutrients can also be mixed from disturbed sediments into the water column, elevating concentrations there.",2012-06,W,h4.9
Water Column Component,Hydroform,Wave,Surface Wave,,CMECS Water Column Subcomponent: Hydroform  ,"A wave generated by energy input from sources such as wind, landslides, tidal action, or current action, and that moves along the surface of the ocean.",2012-06,W,h4.10
Water Column Component,Hydroform,Wave,Surface Wind Wave,,CMECS Water Column Subcomponent: Hydroform  ,"A surface wave generated by direct wind action on the water's surface producing shear, piling up water in the direction of the wind and generating a wave.",2012-06,W,h4.11
Water Column Component,Hydroform,Wave,Surface Swell,,CMECS Water Column Subcomponent: Hydroform  ,A surface gravity wave propagating into an area from a distant source of energy/disturbance and that is not caused by direct local action of the wind.,2012-06,W,h4.12
Water Column Component,Hydroform,Wave,Tsunami,,CMECS Water Column Subcomponent: Hydroform  ,"A large long-wavelength (tens or hundreds of kilometers) ocean wave that is generated by a powerful undersea disturbance such as a landslide, earthquake, or volcano. The wave is nearly imperceptible in the open ocean but as it approaches land, it can reach heights of many tens of meters. They can have enormous destructive impact on the coast (and inland), as well as the biology of the nearshore zone.",2012-06,W,h4.13
Water Column Component,Biogeochemical Feature,,,,CMECS Water Column Subcomponent,"The Biogeochemical Feature more specifically defines the water column by identifying factors including constituent composition (e.g., chlorophyll maximum, turbidity maximum), physical energy (e.g., light, surface mixed layer,), and gradients (halocline, thermocline). The Biogeochemical Feature subcomponent provides information that conveys the structure and the processes that form and sustain the feature, as well as its potential relationship with the biota. The feature integrates specific information, which may include ecoregion, climate zone, position in the water column, position relative to land and spatial scale that is ecologically relevant. The Biogeochemical Feature also conveys information about properties of the other water column subcomponents.",2012-06,W,
Water Column Component,Biogeochemical Feature,Benthic Boundary Layer,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,The layer formed at the interface between the lower water column and the benthic substrate.,2012-06,W,f1
Water Column Component,Biogeochemical Feature,Boundary Layer,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,Layer formed at the interface between water and another water mass (or solid interface) where frictional shear forces on water motion cause exponential damping of movement with proximity to the interface.,2012-06,W,f2
Water Column Component,Biogeochemical Feature,Chlorophyll Maximum,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"A feature in deeper water columns (often in the ocean), where phytoplankton production is locally high at depths along a surface of nutrient (nitrate) entrainment from lower-water layers.",2012-06,W,f3
Water Column Component,Biogeochemical Feature,Chlorophyll Minimum,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,A layer of low chlorophyll- and hence phytoplankton- concentration (relative to adjacent waters) due to highly concentrated grazing activity.,2012-06,W,f4
Water Column Component,Biogeochemical Feature,Drifting Fine Woody Debris,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Aggregations of floating or suspended fine woody material such as small tree branches, husks or fibrous seeds, with a median particle size < 64 millimeters.",2012-06,W,f5
Water Column Component,Biogeochemical Feature,Drifting Herbaceous Debris,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Floating or suspended detached, decaying herbaceous plant matter such as leaves, forbs or grasses, including deciduous leaves or needles, palm leaves, seagrass debris, Spartina debris.",2012-06,W,f6
Water Column Component,Biogeochemical Feature,Drifting Trees,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Floating or suspended large dead trees or very large branches, with a median particle size of greater than 4,096 millimeters.",2012-06,W,f7
Water Column Component,Biogeochemical Feature,Drifting Woody Debris,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Floating or suspended detached large branches with a median particle size of 64 millimeters to < 256 millimeters such as Mangrove branches, coconut rafts.",2012-06,W,f8
Water Column Component,Biogeochemical Feature,Euphotic Zone,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,The zone of the water column that is sufficiently illuminated for photosynthesis to occur.,2012-06,W,f9
Water Column Component,Biogeochemical Feature,Halocline,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"The zone of rapid salinity change with depth in the water column, often separating two layers of different, homogeneous salinity. As the density of water changes with salinity, the halocline presents a barrier to vertical circulation and enhances water column stability",2012-06,W,f10
Water Column Component,Biogeochemical Feature,Lens,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,A homogeneous parcel of water that- by composition- maintains coherence within water of different properties. Often a freshwater lens will sit perched atop saline ocean waters for long periods.,2012-06,W,f11
Water Column Component,Biogeochemical Feature,Lysocline,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"The depth in the ocean at which calcium dissolution increases due to increased pressure. This depth is around 4,000 meters in the Pacific Ocean and 5,000 meters in the Atlantic Ocean, owing to differences in temperature and chemistry. Below this depth, the precipitation of calcium carbonate decreases rapidly to the point where no calcite is deposited.",2012-06,W,f12
Water Column Component,Biogeochemical Feature,Marine Snow Aggregation,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"A concentration of organic material in the ocean water column. Composed of a mix of mineral, dead organic materials, and- sometimes- a rich microbial community.  In this feature small particles aggregate through attractive ionic forces and then begin to fall through the water column.",2012-06,W,f13
Water Column Component,Biogeochemical Feature,Microlayer,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Any extremely thin layer of material, nutrients, organisms or specific properties that exists on or in the water column. The microlayer can be a surface film or at depth and often refers to a microbial film.",2012-06,W,f14
Water Column Component,Biogeochemical Feature,Nepheloid Layer,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Layer of water that contains a high concentration of silt and sediment- usually at the benthic-water column interface. This layer can be nearly a fluid mud. In the deep oceans, the layer can be hundreds of meters thick; in shallower waters with less fine sediments, it can be much thinner (only a few centimeters in places) or absent. Thickness is determined by substrate composition and current shear.",2012-06,W,f15
Water Column Component,Biogeochemical Feature,Neustonic Layer,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Layer of biota that lives at the surface of the water. These organisms are either positively buoyant, maintain position by taking advantage of surface tension, or live on other biotic or abiotic material. Epineuston floats atop the water, hyponeuston lives just under the surface.",2012-06,W,f16
Water Column Component,Biogeochemical Feature,Nutrient Maximum,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,A layer or region in the water column that has high concentrations of a particular nutrient or nutrients due either to biological transformation or to abiotic factors such as advection or entrainment from adjacent water masses.,2012-06,W,f17
Water Column Component,Biogeochemical Feature,Nutrient Minimum,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"A layer in the ocean where net nutrient accumulation is at a minimum, often due to a locus of high biological activity drawing down nutrient stocks.",2012-06,W,f18
Water Column Component,Biogeochemical Feature,Nutricline,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"The zone of rapid nutrient change with depth in the water column, often as a result of entrainment of water from a lower depth that is higher in concentration of a particular nutrient. The nutricline can be a rich source of a limiting nutrient and hence, the site of intense microbial or photosynthetic activity.",2012-06,W,f19
Water Column Component,Biogeochemical Feature,Oxygen Maximum,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"A layer in the ocean where oxygen concentration is at a minimum, often due to a locus of high respiratory activity, notably microbial.",2012-06,W,f20
Water Column Component,Biogeochemical Feature,Oxygen Minimum,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Region in the water column where oxygen is reduced (relative to surrounding waters) due to high respiration rates, usually associated with high concentrations of organic matter.",2012-06,W,f21
Water Column Component,Biogeochemical Feature,Oxycline,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Zone in the water column where oxygen concentration changes rapidly with depth, often as a result of biological or abiotic processes that consume oxygen. Deep, bottom water that contains no photosynthetic organisms- yet receives much deposited organic matter- can generate both high respiration rates and extremely low oxygen concentrations. The transition layer between hypoxic bottom water and oxygenated surface water is the oxycline.",2012-06,W,f22
Water Column Component,Biogeochemical Feature,Sea Foam,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Sea foam is produced by turbulent mixing and agitation of surface waters, enhanced by high concentrations of dissolved organic matter (DOM).",2012-06,W,f23
Water Column Component,Biogeochemical Feature,Seep,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Area on the ocean bottom where fluid slowly emerges. Cold seeps are usually at the continental margins; waters in these seeps are often highly concentrated in minerals and dissolved gases, such as hydrogen sulfide, methane, and hydrogen. Cold-fluid seeps and oil seeps are sources of energy for chemoautotrophic communities of bacteria and archaea, which in turn support communities of clams, mussels and vestimentiferan tubeworms.",2012-06,W,f24
Water Column Component,Biogeochemical Feature,Surface Film,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Thin layer of materials and biota that exist on the surface of the water, often only a few microns thick. The surface film can contain a rich microbial community that consumes the material that concentrated in the film. Dissolved Organic Carbon (DOC) is concentrated up to five times in the surface microlayer. These films are often aggregated and concentrated at frontal convergences of two water masses and can lead to formation of a rich community that feeds on the material.",2012-06,W,f25
Water Column Component,Biogeochemical Feature,Surface Mixed Layer,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,The layer of water at the ocean surface that is mixed by wind. Water of homogeneous density is easily mixed to a depth determined by the intensity of wind shear and density of the water. Often wind mixing of the surface occurs to the pycnocline depth where density increases rapidly. The mixed layer depth is an important determinant of the extent and intensity of photosynthetic production as plankton cells are mixed through the vertical light gradient.,2012-06,W,f26
Water Column Component,Biogeochemical Feature,Thermocline,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"The zone of rapid temperature change with depth in the water column, often separating two layers of different, homogeneous temperature. As the density of water changes with temperature, the thermocline presents a barrier to vertical circulation and enhances water column stability.",2012-06,W,f27
Water Column Component,Biogeochemical Feature,Turbidity Maximum,,,CMECS Water Column Subcomponent: Biogeochemical Feature ,"Region in an estuary where turbidity is high, due to concentration of particulates in the water column. This occurs as a result of the increasing ionic strength of the water from the introduction of salt in the downstream direction (generally at around areas with a salinity of 5), which causes particle aggregation. This process is enhanced by the mixing regime particular to this upper estuary region, in which countercurrent flows from the salt wedge are entrained into the seaward-flowing, upper-water layer. As particles settle out of the upper layer, they are carried upstream in the lower layer and so circulate within a zone of maximum turbidity.",2012-06,W,f28
